Name,Adress,,Number,Topic,Description and information
Grup Cloteatre - Orfeó Martinenc,Av Meridiana 97 (Sant Martí),"41.407667, 2.188493",932453990,Culture,
Grup Sardanista Estels,Plaça del Canonge Rodó 2 (Sant Martí),"41.406173, 2.185128",,Culture,
"Grup de Cicloturisme - La Farinera, Ateneu del Clot",C Muntanya 16*LB (Sant Martí),"41.410670, 2.186514",932329908,Sport,
Grup de Gent Gran Passa-t'ho Bé - Orfeó Martinenc,Av Meridiana 97 (Sant Martí),"41.407667, 2.188493",932453990,Old people,
Grup de Teatre El Partiquí,Gran Via de les Corts Catalanes 837 (Sant Martí),"41.408484, 2.186600",932918080,Culture,
Grup de Teatre l'Horitzó - Centre Parroquial Sant Martí del Clot,Pl Canonge Rodó 2 (Sant Martí),"41.406173, 2.185128",932319910,Culture,
Grup de joves Parròquia de Sant Martí del Clot,Pl Canonge Rodó 001 (Sant Martí),"41.406603, 2.185398",932319910,Youngsters,
Indoorwall Climbing Gyms,Carrer de Gabriel y Galán 3 (Sant Martí),"41.410709, 2.189943",93 255 79 12,Sport,
Institut Salvador Espriu,Pl Glòries Catalanes 20 (Sant Martí),"41.404428, 2.192493",932449560,Education,
JOCVIU Associació,C Monturiol 27*29 (Sant Martí),"41.412603, 2.195162",933033982,Education,
"La Farinera, Ateneu del Clot",Carrer de la Muntanya 16B (Sant Martí),"41.410670, 2.186514",932329908,Culture,
Mercat del Clot,Pl Mercat 26 (Sant Martí),"41.404146, 2.187830",934132306,Public amenities,
Ludoteca El Xalet del Clot,Ptge Carmen de Burgos 3 (Sant Martí),"41.411646, 2.196449",933078684,Public amenities,
Mesquita Hamza,C Almenara Alta 12 (Sant Martí),"41.411547, 2.196168",,Religious,
Oficina d'Atenció Ciutadana de Sant Martí,Plaça de Valentí Almirall 1 (Sant Martí),"41.404962, 2.191248",,Public amenities,
Orfeó Martinenc,Av Meridiana 97 (Sant Martí),"41.407667, 2.188493",932453990,Culture,"L’Orfeó Martinenc és una entitat fundada el 1910 per un grup de mestres que van voler crear una escola de cant coral. Com més hi creixia el nombre de cantaires, més s'arrelava l'orfeó al Clot i alhora, de mica en mica, va diversificar l’activitat. Avui dia és un equipament municipal integrat en la Xarxa de Cases de la Festa i compta amb catorze seccions, entre cant, música, dansa, teatre i grups d’imatgeria festiva i foc."
Parc del Clot,Escultors Claperós 55*63 (Sant Martí),"41.405156, 2.195628",,Public amenities,
Parròquia de Sant Martí del Clot,Pl Canonge Rodó s/n (Sant Martí),"41.406603, 2.185398",932327416,Religious,
Pavelló Poliesportiu Municipal La Nau del Clot,Carrer de la Llacuna 172 (Sant Martí),"41.405756, 2.191442",932664441,Sport,
Penya Barcelonista - Orfeó Martinenc,Av Meridiana 97 (Sant Martí),"41.407667, 2.188493",932453990,Sport,
Punt BCN. Quiosc de Tràmits i Serveis - Oficina d'Atenció Ciutadana de Sant Martí,Pl Valentí Almirall 1 (Sant Martí),"41.404962, 2.191248",,Public amenities,
